gisjoin,name_dp,var_code,dp,name_sf,sf
G53000100,Aberdeen city,IFC001,7338,Aberdeen city,7338
G53000135,Aberdeen Gardens CDP,IFC001,122,Aberdeen Gardens CDP,122
G53000275,Acme CDP,IFC001,109,Acme CDP,109
G53000380,Addy CDP,IFC001,111,Addy CDP,111
G53000800,Ahtanum CDP,IFC001,1383,Ahtanum CDP,1383
G53000905,Airway Heights city,IFC001,1727,Airway Heights city,1727
G53001010,Albion town,IFC001,302,Albion town,302
G53001045,Alder CDP,IFC001,105,Alder CDP,105
G53001150,Alderton CDP,IFC001,1160,Alderton CDP,1160
G53001185,Alderwood Manor CDP,IFC001,3206,Alderwood Manor CDP,3206
G53001255,Alger CDP,IFC001,176,Alger CDP,176
G53001290,Algona city,IFC001,1018,Algona city,1018
G53001430,Allyn CDP,IFC001,1001,Allyn CDP,1001
G53001500,Almira town,IFC001,155,Almira town,155
G53001745,Altoona CDP,IFC001,34,Altoona CDP,34
G53001780,Amanda Park CDP,IFC001,109,Amanda Park CDP,109
G53001850,Amboy CDP,IFC001,569,Amboy CDP,569
G53001920,Ames Lake CDP,IFC001,590,Ames Lake CDP,590
G53001990,Anacortes city,IFC001,7680,Anacortes city,7680
G53002060,Anderson Island CDP,IFC001,1025,Anderson Island CDP,1025
G53002585,Arlington city,IFC001,6929,Arlington city,6929
G53002620,Arlington Heights CDP,IFC001,832,Arlington Heights CDP,832
G53002910,Artondale CDP,IFC001,4944,Artondale CDP,4944
G53003005,Ashford CDP,IFC001,181,Ashford CDP,181
G53003075,Asotin city,IFC001,537,Asotin city,537
G53003180,Auburn city,IFC001,27834,Auburn city,27834
G53003736,Bainbridge Island city,IFC001,10584,Bainbridge Island city,10584
G53004100,Bangor Base CDP,IFC001,1281,Bangor Base CDP,1281
G53004125,Banks Lake South CDP,IFC001,106,Banks Lake South CDP,106
G53004195,Barberton CDP,IFC001,2086,Barberton CDP,2086
G53004300,Baring CDP,IFC001,254,Baring CDP,254
G53004347,Barney's Junction CDP,IFC001,66,Barney's Junction CDP,66
G53004370,Barstow CDP,IFC001,42,Barstow CDP,42
G53004405,Basin City CDP,IFC001,237,Basin City CDP,237
G53004475,Battle Ground city,IFC001,5952,Battle Ground city,5952
G53004615,Bay Center CDP,IFC001,186,Bay Center CDP,186
G53004790,Bay View CDP,IFC001,327,Bay View CDP,327
G53004895,Beaux Arts Village town,IFC001,118,Beaux Arts Village town,118
G53005140,Belfair CDP,IFC001,1634,Belfair CDP,1634
G53005210,Bellevue city,IFC001,55551,Bellevue city,55551
G53005245,Bell Hill CDP,IFC001,447,Bell Hill CDP,447
G53005280,Bellingham city,IFC001,36760,Bellingham city,36760
G53005560,Benton City city,IFC001,1162,Benton City city,1162
G53005735,Bethel CDP,IFC001,1450,Bethel CDP,1450
G53005980,Bickleton CDP,IFC001,51,Bickleton CDP,51
G53006050,Big Lake CDP,IFC001,858,Big Lake CDP,858
G53006085,Bingen city,IFC001,313,Bingen city,313
G53006190,Birch Bay CDP,IFC001,5411,Birch Bay CDP,5411
G53006330,Black Diamond city,IFC001,1685,Black Diamond city,1685
G53006505,Blaine city,IFC001,2346,Blaine city,2346
G53006855,Blyn CDP,IFC001,52,Blyn CDP,52
G53007170,Bonney Lake city,IFC001,6394,Bonney Lake city,6394
G53007380,Bothell city,IFC001,14255,Bothell city,14255
G53007390,Bothell East CDP,IFC001,3139,Bothell East CDP,3139
G53007395,Bothell West CDP,IFC001,6417,Bothell West CDP,6417
G53007397,Boulevard Park CDP,IFC001,2262,Boulevard Park CDP,2262
G53007485,Boyds CDP,IFC001,16,Boyds CDP,16
G53007590,Brady CDP,IFC001,279,Brady CDP,279
G53007695,Bremerton city,IFC001,17273,Bremerton city,17273
G53007835,Brewster city,IFC001,730,Brewster city,730
G53007870,Bridgeport city,IFC001,745,Bridgeport city,745
G53007940,Brier city,IFC001,2220,Brier city,2220
G53008080,Brinnon CDP,IFC001,1060,Brinnon CDP,1060
G53008335,Browns Point CDP,IFC001,593,Browns Point CDP,593
G53008465,Brush Prairie CDP,IFC001,964,Brush Prairie CDP,964
G53008500,Bryant CDP,IFC001,677,Bryant CDP,677
G53008552,Bryn Mawr-Skyway CDP,IFC001,6189,Bryn Mawr-Skyway CDP,6189
G53008570,Buckley city,IFC001,1669,Buckley city,1669
G53008605,Bucoda town,IFC001,243,Bucoda town,243
G53008640,Buena CDP,IFC001,256,Buena CDP,256
G53008770,Bunk Foss CDP,IFC001,1230,Bunk Foss CDP,1230
G53008780,Burbank CDP,IFC001,1173,Burbank CDP,1173
G53008850,Burien city,IFC001,14322,Burien city,14322
G53008885,Burley CDP,IFC001,784,Burley CDP,784
G53008920,Burlington city,IFC001,3419,Burlington city,3419
G53009480,Camas city,IFC001,7072,Camas city,7072
G53009810,Canterwood CDP,IFC001,1196,Canterwood CDP,1196
G53009820,Canyon Creek CDP,IFC001,1355,Canyon Creek CDP,1355
G53009970,Carbonado town,IFC001,218,Carbonado town,218
G53010075,Carlsborg CDP,IFC001,547,Carlsborg CDP,547
G53010215,Carnation city,IFC001,665,Carnation city,665
G53010320,Carson CDP,IFC001,1006,Carson CDP,1006
G53010455,Cascade Valley CDP,IFC001,932,Cascade Valley CDP,932
G53010495,Cashmere city,IFC001,1179,Cashmere city,1179
G53010565,Castle Rock city,IFC001,863,Castle Rock city,863
G53010600,Cathcart CDP,IFC001,949,Cathcart CDP,949
G53010635,Cathlamet town,IFC001,296,Cathlamet town,296
G53010645,Cavalero CDP,IFC001,1687,Cavalero CDP,1687
G53011090,Centerville CDP,IFC001,44,Centerville CDP,44
G53011160,Centralia city,IFC001,7265,Centralia city,7265
G53011195,Central Park CDP,IFC001,1150,Central Park CDP,1150
G53011325,Chain Lake CDP,IFC001,1369,Chain Lake CDP,1369
G53011475,Chehalis city,IFC001,3131,Chehalis city,3131
G53011615,Chelan city,IFC001,2516,Chelan city,2516
G53011685,Chelan Falls CDP,IFC001,125,Chelan Falls CDP,125
G53011825,Cheney city,IFC001,4183,Cheney city,4183
G53012015,Cherry Grove CDP,IFC001,189,Cherry Grove CDP,189
G53012140,Chewelah city,IFC001,1284,Chewelah city,1284
G53012175,Chico CDP,IFC001,916,Chico CDP,916
G53012315,Chinook CDP,IFC001,287,Chinook CDP,287
G53012525,Clallam Bay CDP,IFC001,276,Clallam Bay CDP,276
G53012630,Clarkston city,IFC001,3411,Clarkston city,3411
G53012680,Clarkston Heights-Vineland CDP,IFC001,2713,Clarkston Heights-Vineland CDP,2713
G53012735,Clayton CDP,IFC001,157,Clayton CDP,157
G53012820,Clear Lake CDP,IFC001,659,Clear Lake CDP,659
G53012840,Clear Lake CDP,IFC001,439,Clear Lake CDP,439
G53012875,Clearview CDP,IFC001,1248,Clearview CDP,1248
G53012945,Cle Elum city,IFC001,1105,Cle Elum city,1105
G53013015,Cliffdell CDP,IFC001,176,Cliffdell CDP,176
G53013155,Clinton CDP,IFC001,615,Clinton CDP,615
G53013215,Clover Creek CDP,IFC001,2653,Clover Creek CDP,2653
G53013365,Clyde Hill city,IFC001,1099,Clyde Hill city,1099
G53013595,Cohassett Beach CDP,IFC001,468,Cohassett Beach CDP,468
G53013785,Colfax city,IFC001,1405,Colfax city,1405
G53013855,College Place city,IFC001,3764,College Place city,3764
G53013890,Colton town,IFC001,167,Colton town,167
G53014170,Colville city,IFC001,2221,Colville city,2221
G53014310,Conconully town,IFC001,189,Conconully town,189
G53014380,Concrete town,IFC001,358,Concrete town,358
G53014485,Connell city,IFC001,922,Connell city,922
G53014520,Conway CDP,IFC001,31,Conway CDP,31
G53014660,Copalis Beach CDP,IFC001,419,Copalis Beach CDP,419
G53014870,Cosmopolis city,IFC001,714,Cosmopolis city,714
G53014940,Cottage Lake CDP,IFC001,7925,Cottage Lake CDP,7925
G53015080,Coulee City town,IFC001,331,Coulee City town,331
G53015115,Coulee Dam town,IFC001,534,Coulee Dam town,534
G53015150,Country Homes CDP,IFC001,1985,Country Homes CDP,1985
G53015185,Coupeville town,IFC001,933,Coupeville town,933
G53015290,Covington city,IFC001,6081,Covington city,6081
G53015325,Cowiche CDP,IFC001,112,Cowiche CDP,112
G53015710,Creston town,IFC001,130,Creston town,130
G53015780,Crocker CDP,IFC001,496,Crocker CDP,496
G53016165,Curlew CDP,IFC001,59,Curlew CDP,59
G53016170,Curlew Lake CDP,IFC001,377,Curlew Lake CDP,377
G53016340,Cusick town,IFC001,101,Cusick town,101
G53016375,Custer CDP,IFC001,147,Custer CDP,147
G53016550,Dallesport CDP,IFC001,542,Dallesport CDP,542
G53016585,Danville CDP,IFC001,21,Danville CDP,21
G53016690,Darrington town,IFC001,644,Darrington town,644
G53016760,Dash Point CDP,IFC001,434,Dash Point CDP,434
G53016795,Davenport city,IFC001,750,Davenport city,750
G53016970,Dayton city,IFC001,1200,Dayton city,1200
G53017215,Deep River CDP,IFC001,114,Deep River CDP,114
G53017320,Deer Park city,IFC001,1532,Deer Park city,1532
G53017495,Deming CDP,IFC001,162,Deming CDP,162
G53017617,Desert Aire CDP,IFC001,973,Desert Aire CDP,973
G53017635,Des Moines city,IFC001,12588,Des Moines city,12588
G53017880,Disautel CDP,IFC001,23,Disautel CDP,23
G53018055,Dixie CDP,IFC001,87,Dixie CDP,87
G53018195,Dollars Corner CDP,IFC001,413,Dollars Corner CDP,413
G53018265,Donald CDP,IFC001,41,Donald CDP,41
G53018775,Duluth CDP,IFC001,563,Duluth CDP,563
G53018965,DuPont city,IFC001,3241,DuPont city,3241
G53019035,Duvall city,IFC001,2315,Duvall city,2315
G53019290,East Cathlamet CDP,IFC001,248,East Cathlamet CDP,248
G53019420,Eastgate CDP,IFC001,1899,Eastgate CDP,1899
G53019515,East Hill-Meridian CDP,IFC001,10252,East Hill-Meridian CDP,10252
G53019630,Eastmont CDP,IFC001,7057,Eastmont CDP,7057
G53019700,Easton CDP,IFC001,376,Easton CDP,376
G53019770,East Port Orchard CDP,IFC001,2445,East Port Orchard CDP,2445
G53019857,East Renton Highlands CDP,IFC001,4205,East Renton Highlands CDP,4205
G53020155,East Wenatchee city,IFC001,5275,East Wenatchee city,5275
G53020260,Eatonville town,IFC001,1059,Eatonville town,1059
G53020645,Edgewood city,IFC001,3801,Edgewood city,3801
G53020680,Edison CDP,IFC001,59,Edison CDP,59
G53020750,Edmonds city,IFC001,18378,Edmonds city,18378
G53020890,Elbe CDP,IFC001,17,Elbe CDP,17
G53021030,Electric City city,IFC001,524,Electric City city,524
G53021205,Elk Plain CDP,IFC001,4929,Elk Plain CDP,4929
G53021240,Ellensburg city,IFC001,7867,Ellensburg city,7867
G53021450,Elma city,IFC001,1307,Elma city,1307
G53021485,Elmer City town,IFC001,112,Elmer City town,112
G53021730,Endicott town,IFC001,165,Endicott town,165
G53021800,Enetai CDP,IFC001,1014,Enetai CDP,1014
G53022010,Entiat city,IFC001,495,Entiat city,495
G53022045,Enumclaw city,IFC001,4683,Enumclaw city,4683
G53022080,Ephrata city,IFC001,3086,Ephrata city,3086
G53022118,Erlands Point-Kitsap Lake CDP,IFC001,1346,Erlands Point-Kitsap Lake CDP,1346
G53022150,Eschbach CDP,IFC001,151,Eschbach CDP,151
G53022255,Esperance CDP,IFC001,1491,Esperance CDP,1491
G53022640,Everett city,IFC001,44609,Everett city,44609
G53022745,Everson city,IFC001,864,Everson city,864
G53022955,Fairchild AFB CDP,IFC001,858,Fairchild AFB CDP,858
G53022990,Fairfield town,IFC001,240,Fairfield town,240
G53023160,Fairwood CDP,IFC001,7367,Fairwood CDP,7367
G53023165,Fairwood CDP,IFC001,3127,Fairwood CDP,3127
G53023200,Fall City CDP,IFC001,812,Fall City CDP,812
G53023340,Farmington town,IFC001,65,Farmington town,65
G53023515,Federal Way city,IFC001,35444,Federal Way city,35444
G53023550,Felida CDP,IFC001,2566,Felida CDP,2566
G53023620,Ferndale city,IFC001,4428,Ferndale city,4428
G53023690,Fern Prairie CDP,IFC001,748,Fern Prairie CDP,748
G53023795,Fife city,IFC001,3895,Fife city,3895
G53023830,Fife Heights CDP,IFC001,812,Fife Heights CDP,812
G53023865,Finley CDP,IFC001,2175,Finley CDP,2175
G53023970,Fircrest city,IFC001,2847,Fircrest city,2847
G53024188,Five Corners CDP,IFC001,6224,Five Corners CDP,6224
G53024425,Fobes Hill CDP,IFC001,975,Fobes Hill CDP,975
G53024565,Fords Prairie CDP,IFC001,849,Fords Prairie CDP,849
G53024810,Forks city,IFC001,1374,Forks city,1374
G53024915,Fort Lewis CDP,IFC001,2902,Fort Lewis CDP,2902
G53025300,Four Lakes CDP,IFC001,234,Four Lakes CDP,234
G53025370,Fox Island CDP,IFC001,1565,Fox Island CDP,1565
G53025475,Frederickson CDP,IFC001,6604,Frederickson CDP,6604
G53025510,Freeland CDP,IFC001,1159,Freeland CDP,1159
G53025615,Friday Harbor town,IFC001,1273,Friday Harbor town,1273
G53026140,Garfield town,IFC001,311,Garfield town,311
G53026245,Garrett CDP,IFC001,575,Garrett CDP,575
G53026420,Geneva CDP,IFC001,911,Geneva CDP,911
G53026455,George city,IFC001,168,George city,168
G53026735,Gig Harbor city,IFC001,3560,Gig Harbor city,3560
G53026875,Glacier CDP,IFC001,769,Glacier CDP,769
G53026945,Gleed CDP,IFC001,1145,Gleed CDP,1145
G53027365,Gold Bar city,IFC001,837,Gold Bar city,837
G53027435,Goldendale city,IFC001,1635,Goldendale city,1635
G53027680,Gorst CDP,IFC001,280,Gorst CDP,280
G53027785,Graham CDP,IFC001,8324,Graham CDP,8324
G53027855,Grand Coulee city,IFC001,554,Grand Coulee city,554
G53027890,Grand Mound CDP,IFC001,1071,Grand Mound CDP,1071
G53027925,Grandview city,IFC001,3136,Grandview city,3136
G53027960,Granger city,IFC001,813,Granger city,813
G53027995,Granite Falls city,IFC001,1344,Granite Falls city,1344
G53028135,Grapeview CDP,IFC001,797,Grapeview CDP,797
G53028345,Grayland CDP,IFC001,941,Grayland CDP,941
G53028450,Grays River CDP,IFC001,128,Grays River CDP,128
G53028590,Green Bluff CDP,IFC001,281,Green Bluff CDP,281
G53028695,Greenwater CDP,IFC001,87,Greenwater CDP,87
G53029255,Hamilton town,IFC001,141,Hamilton town,141
G53029430,Hansville CDP,IFC001,1778,Hansville CDP,1778
G53029710,Harrah town,IFC001,183,Harrah town,183
G53029745,Harrington city,IFC001,219,Harrington city,219
G53029920,Hartline town,IFC001,87,Hartline town,87
G53030030,Hat Island CDP,IFC001,256,Hat Island CDP,256
G53030060,Hatton town,IFC001,40,Hatton town,40
G53030305,Hazel Dell CDP,IFC001,8212,Hazel Dell CDP,8212
G53030690,Herron Island CDP,IFC001,349,Herron Island CDP,349
G53030750,High Bridge CDP,IFC001,1068,High Bridge CDP,1068
G53031495,Hobart CDP,IFC001,2511,Hobart CDP,2511
G53031530,Hockinson CDP,IFC001,1618,Hockinson CDP,1618
G53031540,Hogans Corner CDP,IFC001,40,Hogans Corner CDP,40
G53031985,Home CDP,IFC001,737,Home CDP,737
G53032125,Hoodsport CDP,IFC001,233,Hoodsport CDP,233
G53032300,Hoquiam city,IFC001,3938,Hoquiam city,3938
G53032650,Humptulips CDP,IFC001,106,Humptulips CDP,106
G53032755,Hunts Point town,IFC001,181,Hunts Point town,181
G53033000,Ilwaco city,IFC001,567,Ilwaco city,567
G53033105,Inchelium CDP,IFC001,175,Inchelium CDP,175
G53033175,Index town,IFC001,116,Index town,116
G53033280,Indianola CDP,IFC001,1623,Indianola CDP,1623
G53033380,Inglewood-Finn Hill CDP,IFC001,9188,Inglewood-Finn Hill CDP,9188
G53033560,Ione town,IFC001,237,Ione town,237
G53033805,Issaquah city,IFC001,13914,Issaquah city,13914
G53033890,Jamestown CDP,IFC001,196,Jamestown CDP,196
G53034470,Junction City CDP,IFC001,6,Junction City CDP,6
G53034575,Kahlotus city,IFC001,114,Kahlotus city,114
G53034645,Kalama city,IFC001,1070,Kalama city,1070
G53034890,Kapowsin CDP,IFC001,171,Kapowsin CDP,171
G53034960,Keller CDP,IFC001,98,Keller CDP,98
G53035065,Kelso city,IFC001,5139,Kelso city,5139
G53035135,Kendall CDP,IFC001,87,Kendall CDP,87
G53035170,Kenmore city,IFC001,8569,Kenmore city,8569
G53035275,Kennewick city,IFC001,28507,Kennewick city,28507
G53035415,Kent city,IFC001,36424,Kent city,36424
G53035450,Ketron Island CDP,IFC001,19,Ketron Island CDP,19
G53035485,Kettle Falls city,IFC001,726,Kettle Falls city,726
G53035555,Key Center CDP,IFC001,1656,Key Center CDP,1656
G53035625,Keyport CDP,IFC001,264,Keyport CDP,264
G53035835,Kingsgate CDP,IFC001,5146,Kingsgate CDP,5146
G53035870,Kingston CDP,IFC001,1092,Kingston CDP,1092
G53035940,Kirkland city,IFC001,24345,Kirkland city,24345
G53036045,Kittitas city,IFC001,579,Kittitas city,579
G53036100,Klahanie CDP,IFC001,3915,Klahanie CDP,3915
G53036115,Klickitat CDP,IFC001,173,Klickitat CDP,173
G53036395,Krupp town,IFC001,28,Krupp town,28
G53036710,La Center city,IFC001,981,La Center city,981
G53036745,Lacey city,IFC001,18493,Lacey city,18493
G53036780,La Conner town,IFC001,526,La Conner town,526
G53036850,LaCrosse town,IFC001,181,LaCrosse town,181
G53036920,La Grande CDP,IFC001,57,La Grande CDP,57
G53037077,Lake Bosworth CDP,IFC001,333,Lake Bosworth CDP,333
G53037100,Lake Cassidy CDP,IFC001,1291,Lake Cassidy CDP,1291
G53037105,Lake Cavanaugh CDP,IFC001,458,Lake Cavanaugh CDP,458
G53037270,Lake Forest Park city,IFC001,5268,Lake Forest Park city,5268
G53037345,Lake Holm CDP,IFC001,1247,Lake Holm CDP,1247
G53037415,Lake Ketchum CDP,IFC001,390,Lake Ketchum CDP,390
G53037420,Lakeland North CDP,IFC001,4391,Lakeland North CDP,4391
G53037430,Lakeland South CDP,IFC001,4364,Lakeland South CDP,4364
G53037526,Lake McMurray CDP,IFC001,109,Lake McMurray CDP,109
G53037538,Lake Marcel-Stillwater CDP,IFC001,488,Lake Marcel-Stillwater CDP,488
G53037567,Lake Morton-Berrydale CDP,IFC001,3775,Lake Morton-Berrydale CDP,3775
G53037672,Lake Roesiger CDP,IFC001,453,Lake Roesiger CDP,453
G53037830,Lake Shore CDP,IFC001,2542,Lake Shore CDP,2542
G53037900,Lake Stevens city,IFC001,10414,Lake Stevens city,10414
G53037917,Lake Stickney CDP,IFC001,3047,Lake Stickney CDP,3047
G53037920,Lake Tapps CDP,IFC001,4498,Lake Tapps CDP,4498
G53037926,Lakeview CDP,IFC001,450,Lakeview CDP,450
G53038038,Lakewood city,IFC001,26548,Lakewood city,26548
G53038215,Lamont town,IFC001,40,Lamont town,40
G53038355,Langley city,IFC001,678,Langley city,678
G53038420,Larch Way CDP,IFC001,1131,Larch Way CDP,1131
G53038495,Latah town,IFC001,81,Latah town,81
G53038705,Laurier CDP,IFC001,3,Laurier CDP,3
G53038845,Leavenworth city,IFC001,1241,Leavenworth city,1241
G53038880,Lebam CDP,IFC001,86,Lebam CDP,86
G53039212,Lewisville CDP,IFC001,623,Lewisville CDP,623
G53039335,Liberty Lake city,IFC001,3344,Liberty Lake city,3344
G53039510,Lind town,IFC001,276,Lind town,276
G53039860,Lochsloy CDP,IFC001,991,Lochsloy CDP,991
G53039930,Lofall CDP,IFC001,952,Lofall CDP,952
G53040070,Long Beach city,IFC001,1564,Long Beach city,1564
G53040105,Longbranch CDP,IFC001,1983,Longbranch CDP,1983
G53040245,Longview city,IFC001,16380,Longview city,16380
G53040270,Longview Heights CDP,IFC001,1544,Longview Heights CDP,1544
G53040350,Loomis CDP,IFC001,93,Loomis CDP,93
G53040385,Loon Lake CDP,IFC001,512,Loon Lake CDP,512
G53040570,Lower Elochoman CDP,IFC001,81,Lower Elochoman CDP,81
G53040735,Lyle CDP,IFC001,255,Lyle CDP,255
G53040770,Lyman town,IFC001,172,Lyman town,172
G53040805,Lynden city,IFC001,4812,Lynden city,4812
G53040840,Lynnwood city,IFC001,14939,Lynnwood city,14939
G53040980,Mabton city,IFC001,548,Mabton city,548
G53041155,McChord AFB CDP,IFC001,742,McChord AFB CDP,742
G53041225,McCleary city,IFC001,759,McCleary city,759
G53041470,Machias CDP,IFC001,433,Machias CDP,433
G53041645,McKenna CDP,IFC001,250,McKenna CDP,250
G53041785,McMillin CDP,IFC001,631,McMillin CDP,631
G53042275,Malden town,IFC001,118,Malden town,118
G53042310,Malo CDP,IFC001,17,Malo CDP,17
G53042345,Malone CDP,IFC001,191,Malone CDP,191
G53042380,Malott CDP,IFC001,221,Malott CDP,221
G53042415,Maltby CDP,IFC001,4003,Maltby CDP,4003
G53042450,Manchester CDP,IFC001,2308,Manchester CDP,2308
G53042800,Mansfield town,IFC001,169,Mansfield town,169
G53042835,Manson CDP,IFC001,938,Manson CDP,938
G53043010,Maple Falls CDP,IFC001,149,Maple Falls CDP,149
G53043062,Maple Heights-Lake Desire CDP,IFC001,1182,Maple Heights-Lake Desire CDP,1182
G53043150,Maple Valley city,IFC001,7997,Maple Valley city,7997
G53043255,Maplewood CDP,IFC001,2219,Maplewood CDP,2219
G53043325,Marblemount CDP,IFC001,136,Marblemount CDP,136
G53043395,Marcus town,IFC001,82,Marcus town,82
G53043491,Marietta-Alderwood CDP,IFC001,1808,Marietta-Alderwood CDP,1808
G53043640,Markham CDP,IFC001,63,Markham CDP,63
G53043762,Marrowstone CDP,IFC001,611,Marrowstone CDP,611
G53043815,Martha Lake CDP,IFC001,5906,Martha Lake CDP,5906
G53043885,Maryhill CDP,IFC001,27,Maryhill CDP,27
G53043955,Marysville city,IFC001,22363,Marysville city,22363
G53044165,Mattawa town,IFC001,843,Mattawa town,843
G53044260,May Creek CDP,IFC001,352,May Creek CDP,352
G53044480,Mead CDP,IFC001,2842,Mead CDP,2842
G53044585,Meadowdale CDP,IFC001,1004,Meadowdale CDP,1004
G53044620,Meadow Glade CDP,IFC001,859,Meadow Glade CDP,859
G53044690,Medical Lake city,IFC001,1835,Medical Lake city,1835
G53044725,Medina city,IFC001,1162,Medina city,1162
G53045005,Mercer Island city,IFC001,9930,Mercer Island city,9930
G53045180,Mesa city,IFC001,128,Mesa city,128
G53045285,Metaline town,IFC001,103,Metaline town,103
G53045320,Metaline Falls town,IFC001,206,Metaline Falls town,206
G53045355,Methow CDP,IFC001,59,Methow CDP,59
G53045495,Midland CDP,IFC001,3458,Midland CDP,3458
G53045865,Mill Creek city,IFC001,7923,Mill Creek city,7923
G53045870,Mill Creek East CDP,IFC001,5691,Mill Creek East CDP,5691
G53045985,Millwood town,IFC001,793,Millwood town,793
G53046020,Milton city,IFC001,3081,Milton city,3081
G53046090,Mineral CDP,IFC001,128,Mineral CDP,128
G53046125,Minnehaha CDP,IFC001,3841,Minnehaha CDP,3841
G53046215,Mirrormont CDP,IFC001,1443,Mirrormont CDP,1443
G53046405,Moclips CDP,IFC001,237,Moclips CDP,237
G53046685,Monroe city,IFC001,5306,Monroe city,5306
G53046725,Monroe North CDP,IFC001,575,Monroe North CDP,575
G53046895,Montesano city,IFC001,1684,Montesano city,1684
G53047175,Morton city,IFC001,535,Morton city,535
G53047245,Moses Lake city,IFC001,8365,Moses Lake city,8365
G53047280,Moses Lake North CDP,IFC001,1352,Moses Lake North CDP,1352
G53047315,Mossyrock city,IFC001,302,Mossyrock city,302
G53047490,Mountlake Terrace city,IFC001,8602,Mountlake Terrace city,8602
G53047560,Mount Vernon city,IFC001,12058,Mount Vernon city,12058
G53047630,Mount Vista CDP,IFC001,3301,Mount Vista CDP,3301
G53047665,Moxee city,IFC001,1032,Moxee city,1032
G53047735,Mukilteo city,IFC001,8547,Mukilteo city,8547
G53047805,Naches town,IFC001,346,Naches town,346
G53047980,Napavine city,IFC001,662,Napavine city,662
G53048015,Naselle CDP,IFC001,194,Naselle CDP,194
G53048225,Navy Yard City CDP,IFC001,1280,Navy Yard City CDP,1280
G53048295,Neah Bay CDP,IFC001,358,Neah Bay CDP,358
G53048330,Neilton CDP,IFC001,141,Neilton CDP,141
G53048540,Nespelem town,IFC001,77,Nespelem town,77
G53048550,Nespelem Community CDP,IFC001,94,Nespelem Community CDP,94
G53048645,Newcastle city,IFC001,4227,Newcastle city,4227
G53048820,Newport city,IFC001,954,Newport city,954
G53049030,Nile CDP,IFC001,93,Nile CDP,93
G53049193,Nisqually Indian Community CDP,IFC001,190,Nisqually Indian Community CDP,190
G53049275,Nooksack city,IFC001,457,Nooksack city,457
G53049415,Normandy Park city,IFC001,2838,Normandy Park city,2838
G53049485,North Bend city,IFC001,2348,North Bend city,2348
G53049555,North Bonneville city,IFC001,459,North Bonneville city,459
G53049765,North Fort Lewis CDP,IFC001,535,North Fort Lewis CDP,535
G53049940,North Lynnwood CDP,IFC001,7174,North Lynnwood CDP,7174
G53049992,North Marysville CDP,IFC001,45,North Marysville CDP,45
G53050007,North Omak CDP,IFC001,213,North Omak CDP,213
G53050045,Northport town,IFC001,168,Northport town,168
G53050115,North Puyallup CDP,IFC001,945,North Puyallup CDP,945
G53050183,North Sultan CDP,IFC001,113,North Sultan CDP,113
G53050195,Northwest Stanwood CDP,IFC001,56,Northwest Stanwood CDP,56
G53050210,North Yelm CDP,IFC001,1169,North Yelm CDP,1169
G53050325,Oakesdale town,IFC001,196,Oakesdale town,196
G53050360,Oak Harbor city,IFC001,9553,Oak Harbor city,9553
G53050430,Oakville city,IFC001,291,Oakville city,291
G53050500,Ocean City CDP,IFC001,235,Ocean City CDP,235
G53050535,Ocean Park CDP,IFC001,1806,Ocean Park CDP,1806
G53050570,Ocean Shores city,IFC001,4758,Ocean Shores city,4758
G53050745,Odessa town,IFC001,460,Odessa town,460
G53050920,Okanogan city,IFC001,1051,Okanogan city,1051
G53051300,Olympia city,IFC001,22086,Olympia city,22086
G53051340,Omak city,IFC001,2168,Omak city,2168
G53051410,Onalaska CDP,IFC001,251,Onalaska CDP,251
G53051795,Orchards CDP,IFC001,6753,Orchards CDP,6753
G53051830,Orient CDP,IFC001,63,Orient CDP,63
G53051970,Oroville city,IFC001,797,Oroville city,797
G53052005,Orting city,IFC001,2361,Orting city,2361
G53052110,Oso CDP,IFC001,71,Oso CDP,71
G53052215,Othello city,IFC001,2185,Othello city,2185
G53052267,Otis Orchards-East Farms CDP,IFC001,2331,Otis Orchards-East Farms CDP,2331
G53052285,Outlook CDP,IFC001,82,Outlook CDP,82
G53052378,Oyehut CDP,IFC001,111,Oyehut CDP,111
G53052495,Pacific city,IFC001,2422,Pacific city,2422
G53052530,Pacific Beach CDP,IFC001,257,Pacific Beach CDP,257
G53052600,Packwood CDP,IFC001,267,Packwood CDP,267
G53052950,Palouse city,IFC001,474,Palouse city,474
G53053265,Parker CDP,IFC001,48,Parker CDP,48
G53053335,Parkland CDP,IFC001,14141,Parkland CDP,14141
G53053440,Parkwood CDP,IFC001,3018,Parkwood CDP,3018
G53053545,Pasco city,IFC001,18782,Pasco city,18782
G53053720,Pateros city,IFC001,276,Pateros city,276
G53053800,Peaceful Valley CDP,IFC001,1488,Peaceful Valley CDP,1488
G53053930,Pe Ell town,IFC001,290,Pe Ell town,290
G53054213,Picnic Point CDP,IFC001,3300,Picnic Point CDP,3300
G53054405,Pine Grove CDP,IFC001,67,Pine Grove CDP,67
G53055015,Point Roberts CDP,IFC001,2068,Point Roberts CDP,2068
G53055120,Pomeroy city,IFC001,723,Pomeroy city,723
G53055365,Port Angeles city,IFC001,9272,Port Angeles city,9272
G53055400,Port Angeles East CDP,IFC001,1482,Port Angeles East CDP,1482
G53055540,Porter CDP,IFC001,91,Porter CDP,91
G53055612,Port Gamble Tribal Comunity CDP,IFC001,313,Port Gamble Tribal Comunity CDP,313
G53055620,Port Hadlock-Irondale CDP,IFC001,1731,Port Hadlock-Irondale CDP,1731
